职位名称,地区,薪水,标签,能力要求,公司名字,福利待遇,详情链接,最低薪水,最高薪水,平均薪水,经验要求,学历要求,城市,福利个数
技术经理,杭州·滨江区·星耀城,10-15K,"经验不限, 大专",安全气囊制造,新普力实业,,https://www.zhipin.com/job_detail/a5fdfe8f69b8887633F_2Ny7FFU~.html?lid=CKGMC3kWgm.search.143&securityId=78DfztgIWsUyA-n1r_XDwY-N9vevyFldI_tiiE5EQH60upvCiusFKZvzNBnPLbzrY1E24BPTvq2PTFg1OclStcp-iTsM-adCAPFfhirILd05kwg02Q~~&sessionId=,10,15,12.5,经验不限,大专,杭州,1
技术经理,杭州·下城区,7-10K,"5-10年, 大专","鞋行, 鞋业制作技术, 英语流利",杰森,五险一金，餐补，加班补助，交通补助，年终奖，带薪年假，通讯补贴，节日福利,https://www.zhipin.com/job_detail/8376a52da1fa2d430n1729-4Ew~~.html?lid=CKGMC3kWgm.search.144&securityId=-Yrz8lazDregf-51WemsaA3SQJnsrS5IHViduguhRzJALF9lna595dy5XIiri7pABgAh5TTfFWjzV6Ah4X38coIY2wdQLGjAL_m9LPFaqFI~&sessionId=,7,10,8.5,5-10年,大专,杭州,8
技术经理,杭州·余杭区·五常,25-45K,"5-10年, 本科","微服务架构, 网络安全, 大数据, 人工智能, 知识产权软件项目",佰腾数知,五险一金，带薪年假，定期体检,https://www.zhipin.com/job_detail/975e29f5d438cc971XF70ty7EVFQ.html?lid=CKGMC3kWgm.search.145&securityId=gANoVInoDokUo-s1zJvX0Po1B5iCQi0t_CiI_iOuXOtMYedaw9FsBXRSoT9CSyDW-Vr0mOpzey8RU5n3ExQ32sRd6v0gEuwpF5cw_olvX-EaT-UDiqo~&sessionId=,25,45,35,5-10年,本科,杭州,3
技术经理,杭州·拱墅区·万达广场,16-28K,"3-5年, 本科","SQL, SVN, GIT, 高级软件工程师, 架构师, SpringBoot, SpringCloud, MySQL",物源科技,员工旅游，带薪年假，五险一金，餐补，股票期权，节日福利，年终奖，零食下午茶，定期体检,https://www.zhipin.com/job_detail/5312c08bcbd585c11nx409-_FFtW.html?lid=CKGMC3kWgm.search.146&securityId=AWvSoRunsfDd3-l1WIZM7ik1RUwjyYMnJ6Z5AN4iAD9GBYD18RnqMAChOUCPjgFfYodBlzC3Dhu6Qk-puTmzKk7GA99KNbZjlLGsIpfBD-NYpTzBig~~&sessionId=,16,28,22,3-5年,本科,杭州,9
技术总监,杭州·滨江区·长河,35-65K,"5-10年, 本科","微服务架构, 架构师, 企业级应用开发",光云科技,定期体检，五险一金，包吃，企业文化活动，带薪年假，节日福利，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/06dba46fc2c406811XZ_0tW5FFVU.html?lid=CKGMC3kWgm.search.147&securityId=XP_AuuA0UjOmF-P1kMdhKpIboe5-usKk_5pvX825hUgV7VtRp-5uMjL5m_EK4j862wu1QZnQXQmTl9B5C6unejxRQZaVrxm1P18ie0y2&sessionId=,35,65,50,5-10年,本科,杭州,8
技术总监,杭州·拱墅区·新天地,20-40K,"5-10年, 本科","架构师, Java, 分布式技术, 数据结构, Spring, 多线程, 嵌入式技术, IT项目管理",云娇燕,带薪年假，节日福利，年终奖，交通补助，全勤奖，员工旅游，补充医疗保险，定期体检，加班补助，餐补，通讯补贴，五险一金，零食下午茶,https://www.zhipin.com/job_detail/c6693a9625b7a3c53nNz2t29FlA~.html?lid=CKGMC3kWgm.search.148&securityId=G3DjhfBnUUNu--J11giVvKCowkJlOwbGoMCPG8lphn2Gv-1OzuO0_ge2DncG7iNd6JBMhpPIAfUdoxBHJGrKgFzbbVe4J1PqRzbKEO6iG25H4MnSa80~&sessionId=,20,40,30,5-10年,本科,杭州,13
技术经理,杭州·滨江区·浦沿,25-40K,"5-10年, 本科","负载均衡技术, 分布式技术, 消息队列, 架构师, Spring, Dubbo, NoSQL, SQL Server",恒生聚源,员工旅游，五险一金，带薪年假，年终奖，节日福利，加班补助，补充医疗保险，定期体检，股票期权，餐补,https://www.zhipin.com/job_detail/46031583b436fc0b1XV939u9EFNW.html?lid=CKGMC3kWgm.search.149&securityId=0l5UE74F2JkwQ-U190smfnnf1eCmlg9VcINWR1Ap_hmrrg4OGhsmibWt-nUym5nMvQm2A7QCpNE78NF08JGMM5LYg7fk-ra7u2yoBkxLqcyMIFy5&sessionId=,25,40,32.5,5-10年,本科,杭州,10
技术经理,杭州·余杭区·五常,35-50K·15薪,"5-10年, 本科","咨询领域, 架构师, IT项目管理, 分布式技术",阿里巴巴集团,交通补助，零食下午茶，节日福利，员工旅游，股票期权，年终奖，补充医疗保险，五险一金，免费班车，餐补,https://www.zhipin.com/job_detail/e1bb307b038eaadf0HB639S4FlE~.html?lid=CKGMC3kWgm.search.150&securityId=g7hh6b7rS1By3-u1v7ErDl3apyHV9NErlBRsiqPtNma5KrFMDwkKYeI5veEQe99_5U4OFuoPnHZIcu_Gn5Ru-knlz5epHSDHYXOMUX9_c5c~&sessionId=,35,50,42.5,5-10年,本科,杭州,10
技术总监,杭州,22-26K,"5-10年, 本科","GIS, 技术总监, 系统架构",浙江广晟,五险一金，餐补，加班补助，带薪年假，节日福利，定期体检，员工旅游，年终奖,https://www.zhipin.com/job_detail/62a52242430eda1d1Xx43NS8E1E~.html?lid=CIRtin8t7K.search.181&securityId=u3HOQ1wHim5ac-d1A9F68Wh299_27TV2SjCXdLx8LsMQjMs_8Nksn9RlouCQQ904BM-ffZzQHx6b4spkYMbO0pps2XmutJ70HQYy60tr0DyafyU~&sessionId=,22,26,24,5-10年,本科,杭州,8
技术总监,杭州·余杭区·海创园,40-50K·15薪,"5-10年, 博士","数据结构, 嵌入式技术, 算法基础, 人工智能, 大数据, 物联网, 嵌入式硬件开发, 嵌入式软件开发",筑家易中国,零食下午茶，全勤奖，节日福利，带薪年假，股票期权，年终奖，房屋团购，五险一金,https://www.zhipin.com/job_detail/d28c43629c7a13f71nZ92tu4EVVU.html?lid=CIRtin8t7K.search.182&securityId=oKQJ3r9PgsCyv-81qbhE-xeJu8P28YPRG7O_8cfzO54mpNlrPfzDMF3mvr8cyOWoaDh-NERu2DDZSNiffkwQOADB0BbwjxjmQBvmoeBoWc63hGyq&sessionId=,40,50,45,5-10年,博士,杭州,8
技术总监,杭州·余杭区·仓前,15-25K,"3-5年, 本科","系统架构, 运维管理, 高级技术管理",三通导师,,https://www.zhipin.com/job_detail/7caec4fcd56166820nJ83t66Eg~~.html?lid=CIRtin8t7K.search.183&securityId=1GsTKbwD0CBG6-31WJ6tE_Cfb-YUBfJSHiiVcp1UpDTuuHjUzgpPumdUFIHqQ84BmaXFh87zYg1ijkfGANYfchsEgSvkXpSppeOo34qTIcecq6HI&sessionId=,15,25,20,3-5年,本科,杭州,1
技术总监,杭州·拱墅区·蓝钻天城购物中心,15-30K,"5-10年, 本科","技术管理, 系统架构, 高级技术管理",小锐智能/小锐科技,带薪年假，年终奖，零食下午茶，员工旅游，五险一金，补充医疗保险，节日福利，餐补，定期体检，全勤奖，股票期权，包吃,https://www.zhipin.com/job_detail/390a7eaa842615f61nV60966FVpR.html?lid=CIRtin8t7K.search.184&securityId=6gkXPECHr5sbL-u1RwDy1_CVsuxE3ZMDlh-njEjKTbMSAX2W8q0EF5Y8pzNJjoK5UYSYS1VdSE51RBnIBjj2mjNx3cLS65uD6w2g4ByG_u24y8gR0Q~~&sessionId=,15,30,22.5,5-10年,本科,杭州,12
技术总监,杭州·建德市·大同镇,8-10K,"1-3年, 高中","技术管理, 产品开发, 产品内部评审, 产品设计",浙江通用,餐补，节日福利，住房补贴,https://www.zhipin.com/job_detail/61d39970e51fe7351nZ70t26E1tR.html?lid=CIRtin8t7K.search.185&securityId=BOihdw-yw3Mcm-m1ahYc1w01CRBRwBCDlqvl5ploAPEUfJo0jXiQPk7A1f4Ax16NA31H165hjQAMxI4k3mnAFSxYotRjFQzqdr3d13rjJD701SI80Tog&sessionId=,8,10,9,1-3年,高中,杭州,3
技术总监,杭州·滨江区·长河,20-30K,"5-10年, 本科",网络数据安全解决方案,昂楷科技,年终奖，绩效奖金，零食下午茶，股票期权，五险一金，员工旅游，定期体检，节日福利，带薪年假,https://www.zhipin.com/job_detail/6cc67cbdc6c410471XNz39-8FFtU.html?lid=CIRtin8t7K.search.186&securityId=qcQw9kmUywQH6-J1_Tn4xV2T3IYHQuO9vVmptJpJrZJOVnrK2Vl-o36j7RB8d-hqf580gC-iS3h6BYjtKRhYZHvvekL6HLhPDj2q2_AJ0y7b1gRP&sessionId=,20,30,25,5-10年,本科,杭州,9
技术总监,杭州·钱塘区·白杨,30-60K,"5-10年, 博士","测试管理, 运维管理, 高级技术管理",思宏墨水,带薪年假，年终奖，餐补，节日福利，全勤奖，补充医疗保险,https://www.zhipin.com/job_detail/efc78fd696ef20011HZ42d69E1A~.html?lid=CIRtin8t7K.search.187&securityId=QWyuLnwHMjUE_-F17-sIFWFZj2lc5Utantp1VTShAJHnj28Tj5my0NjHSx6wz3BXaR923HDNLooXWXhWq9w6WKwFo2NpgBetTE1e_TBY0R2IC7wO&sessionId=,30,60,45,5-10年,博士,杭州,6
技术总监,杭州·滨江区·长河,10-11K,"5-10年, 学历不限","高级技术管理, 技术管理, 测试管理",盈隆科技,,https://www.zhipin.com/job_detail/559074bad57127461nJz2dq6FVQ~.html?lid=CIRtin8t7K.search.188&securityId=SpWj_buqk9cbk-m1Bo--1fnTwQohkLM2DL7KGgqrssxbOjfuLM937ZeP1GlkNNx5J33fm1zpKD7rAMQ_bUqXqbmO44WtWPMKV22JYJPgNqRCA20~&sessionId=,10,11,10.5,5-10年,学历不限,杭州,1
技术总监,杭州·西湖区·黄龙,15-20K,"3-5年, 本科",高级技术管理,浙江安科,五险一金，定期体检,https://www.zhipin.com/job_detail/15601053cf53edf81nB93Nq-FVQ~.html?lid=CIRtin8t7K.search.189&securityId=6UGmiHMz3ybO7-M1TuUPolx_ghrWIeVO2wYo2E3EkA1hMbJi7J-lOB4vuRuiQEgYYz2rk4_SjuR4QoRuzwsWPOV-am-acAbMwQMuJaWU0Xw9uJY~&sessionId=,15,20,17.5,3-5年,本科,杭州,2
技术总监,杭州·富阳区·富春,5-10K,"1-3年, 学历不限",Java,金工标识,,https://www.zhipin.com/job_detail/41fce9961b154d131nx439m-F1pZ.html?lid=CIRtin8t7K.search.190&securityId=jEij_4U2MGaGq-S18ZLDDnKeUaaKZ6ecxyPrYzUoImXg9zHoG15BYSikDyiSC4Lq-WSlUVyfeQxWG6UopWR2D12sEKlwEghmUeY5mlhA9vcP0XlZue1x&sessionId=,5,10,7.5,1-3年,学历不限,杭州,1
技术总监,杭州·萧山区·北干,15-30K,"3-5年, 本科","前端开发, 测试, 产品研发, 管理",知昇,节日福利，全勤奖，五险一金，加班补助，带薪年假，零食下午茶，员工旅游,https://www.zhipin.com/job_detail/33df6bdd5e5fab021XR-2N-_E1FZ.html?lid=CIRtin8t7K.search.191&securityId=0XAjAhiGZGmFH-C1DbeDvULpe5tnU1Iccw1JVCvMECETYfJLoWPeGG9MM5SD7dLEj5so8cAY5rXSHyBjGAp5gBk7y9O_xSTa9oHjOYPBypRTG5VE3SYB&sessionId=,15,30,22.5,3-5年,本科,杭州,7
技术总监,杭州·余杭区·仓前,23-35K,"5-10年, 本科","Java, 企业级应用开发, Dubbo, 物联网, SpringMVC, 化工",雅锐斯科技,五险一金,https://www.zhipin.com/job_detail/cca849c544dd76a61nZ70t2-FFNU.html?lid=CIRtin8t7K.search.192&securityId=S4eUYlCJ23fTZ-R1lEI6qzRZwjoxjp9xzEQdaJ98mbRsu2ai-wsqcZtHzeEXe1deNukmEHiNnTndI7uOOgYlyelqMqXjWNeEkN7JSW0OJnB4U9_6_Gs~&sessionId=,23,35,29,5-10年,本科,杭州,1
技术总监,杭州·钱塘区·和达东东城,20-30K,"5-10年, 本科","Java, SQL, 多线程, Spring, Hibernate, Struts",拾麦科技,,https://www.zhipin.com/job_detail/9a282ebc6f0125b41nZ63d27FltT.html?lid=CIRtin8t7K.search.193&securityId=ObGrVg1TlTy5c-41xACYxVic7u3TA_RW1OxmQU6f6nmE3WzkqJO5DkGE35RB8L-oCxvYA9Xa8S0qSSYf5J51AEbrXZdmgeaKIY7NuC05xKFdy7a-8P_T&sessionId=,20,30,25,5-10年,本科,杭州,1
技术总监,杭州·余杭区·良渚,13-25K,"1-3年, 大专","Java, 服务器配置, 分布式技术, MySQL, 网络运维, SQL, Unix, Linux",杭州四叶草网络科技,五险一金，补充医疗保险，定期体检,https://www.zhipin.com/job_detail/4457ee0ae8d627a91XVy39S7F1FU.html?lid=CIRtin8t7K.search.194&securityId=eC_M19_isB8xB-O1QoD5jaBwpPXaVVqV0wmdbcm5hC0QLyUn2RK6I6un1BRKMxnMpEnXRuWWi6jDuew0wGqkrurb8KTscueh6RJVg2bkMVkyszQf&sessionId=,13,25,19,1-3年,大专,杭州,3
技术总监,杭州·西湖区·黄龙,20-21K·13薪,"5-10年, 硕士",CTO,致家科技,,https://www.zhipin.com/job_detail/46fc5e9951281c5833d-2dW5ElI~.html?lid=CIRtin8t7K.search.195&securityId=JfumTcfDmgFon-f1l_gi2LCgIf8RlLWmDx3za5ynTMAZ4N2sm6y7AxESVjyrrhmiGSvVF07xWOuVkP8AStc_980sdV-Eq1QUW_kb6U-XUSaz14Zr&sessionId=,20,21,20.5,5-10年,硕士,杭州,1
技术总监,杭州·钱塘区·下沙,35-40K·14薪,"10年以上, 大专","版师, 服装",卓尚服饰,五险一金，加班补助，住房补贴，餐补，带薪年假，定期体检，年终奖，员工旅游，节日福利，免费班车,https://www.zhipin.com/job_detail/e31b31a3cfcf41061X163tW0FVVX.html?lid=CIRtin8t7K.search.196&securityId=ON1lWAgJKxQNY-61LYnBhdNCf8-x_tWmgor8dmY6YZzeOI2ITPqBaumE1XxyCgAPCkuofBUh5lgtQRVideNm2v0RzcWefOnrzw7iAWZ6h8m31jWI&sessionId=,35,40,37.5,10年以上,大专,杭州,10
技术总监,杭州,30-45K,"10年以上, 本科","Java, JavaScript, 微服务架构, 企业级应用开发, 环控，rfid  大数据, 嵌入式技术, C#, 全栈开发",中著信息,加班补助，零食下午茶，通讯补贴，五险一金，节日福利，交通补助，全勤奖，住房补贴，员工旅游，带薪年假，年终奖，股票期权，定期体检,https://www.zhipin.com/job_detail/d16ab99b83e4449b1nN63N-0E1dQ.html?lid=CIRtin8t7K.search.197&securityId=z7XCXTQL9AvZ--Y1zlGzZgtuc9PF7juGZLGUT-gmBXAvcTbqXVC89_B5KCkfl7J1p7nqXGcBakY81h9HZEqKmL1XSrlraQ5fvi8vvdod419ENOHX&sessionId=,30,45,37.5,10年以上,本科,杭州,13
技术总监,杭州·临安区·青山,20-40K,"5-10年, 硕士","高级技术管理, 系统架构, 运维管理",方得智能,股票期权，带薪年假，五险一金，年终奖,https://www.zhipin.com/job_detail/e4c410ca029ea0051nF73tu_EA~~.html?lid=CIRtin8t7K.search.198&securityId=ludGKhuCpG2qF-z1UU2GBx81zggiiHaE91dOlcYLZj0wH4KZgAy7hzZ7ic1JRahFRbvDTOiDYEUzYRj136kSalVMIWdoaJDzYyUIklrSma0~&sessionId=,20,40,30,5-10年,硕士,杭州,4
技术总监,杭州·富阳区·富春,5-10K,"3-5年, 高中","机房运维, 数据分析",富阳之菱,,https://www.zhipin.com/job_detail/cbe5b2ff2bcbbb041Hx539W0FlM~.html?lid=CIRtin8t7K.search.199&securityId=k2HClAdfkNlP5-b18CAKYCuhnShWt3H2Knu6I4FnnkTE8FOzVMM45VorXYYdMnc8o8HqkZdyKeRTMZ7rcA6QXLot7lgBtTbZ3_MuYAYegpffaPv6&sessionId=,5,10,7.5,3-5年,高中,杭州,1
技术总监,杭州·萧山区·湘湖,8-13K,"经验不限, 大专",项目总监,锦康检测,,https://www.zhipin.com/job_detail/54ca34b029836bb11nR92ti6FldZ.html?lid=CIRtin8t7K.search.200&securityId=HwQjjYsBukjlG-p1e6UrZQsIEeJ5I9U-4WM4CC8DLY_oRjtVaScpRlZMXrMxqffTDXKI8JxI6Hogo6X9J9zsgCaKjsLKcGVGJhrZMFYkn_xQEZRX8Lkh&sessionId=,8,13,10.5,经验不限,大专,杭州,1
技术总监,杭州·西湖区·三墩,50-80K·16薪,"5-10年, 本科",Java,普浪,五险一金，加班补助，全勤奖，餐补,https://www.zhipin.com/job_detail/ba033b94ec2fbb7e1XR709y0GVVX.html?lid=CIRtin8t7K.search.201&securityId=6gGKIljMCmgAq-Y1YZepCai6JijNR1pAw7ZeqbOsuz9G-o_yg5E4eH33mVaT0dkfHSEns762PgtqSqKjETsvY0fEnOKKufPXr163Fj7K8TadUQXS&sessionId=,50,80,65,5-10年,本科,杭州,4
技术总监,杭州·上城区·火车东站,20-40K,"5-10年, 本科","Python, Java, JavaScript, 网络编程",九牛,五险一金,https://www.zhipin.com/job_detail/2ef24808b36176931nZ72di8EFFS.html?lid=CIRtin8t7K.search.202&securityId=6ZX06Yt5NSJPx-U1b403WzEEM0aIXVu_cD-B-sbDbCz1-dLJmMmGk8OguVhWJrc5_oGH7qKzFewYVIaV-2lLuv9ICtKbV9iDKRST5pRp7p1ZSXUgYYs~&sessionId=,20,40,30,5-10年,本科,杭州,1
技术总监,杭州·西湖区·西溪,7-12K,"3-5年, 学历不限","汽车贴膜, 玻璃膜, 汽车车衣, 汽车改色",杭州市西湖区浩涩...,,https://www.zhipin.com/job_detail/2bd47092663f9bd41XN629i8FVdY.html?lid=CIRtin8t7K.search.203&securityId=8UoL4PQcrgSmM-S1mpoec2WMR_SaflT8Sb_gByi2A8rae8GY2bdQz3WFY0qdJbVY2rrmvHmt3mGc3NAOdMF-2hJINbAzsvE33om22MBExhKLdqjOE_c1&sessionId=,7,12,9.5,3-5年,学历不限,杭州,1
技术总监,杭州·钱塘区·和达东东城,8-13K,"5-10年, 学历不限","全勤奖, 包吃住, 餐补, 发型师",奈可理发店,,https://www.zhipin.com/job_detail/360dfadd3a8491591XN83N24E1NW.html?lid=CIRtin8t7K.search.204&securityId=XX0RC6gq1KThm-C1p40NXOM4VyL-FcVEeHkmvlBx-LoDYTXi0c6KYjvbZqx78cocYJ2NmmK3-mlZeVW1ZhwLiYjaQpCmm0T5cg9h6AcmljENQHFnZV-V&sessionId=,8,13,10.5,5-10年,学历不限,杭州,1
Java技术总监,杭州·萧山区·钱江世纪城,40-60K·13薪,"5-10年, 本科","分布式技术, 架构师, 服务器端开发, 游戏开发",浙江十勇士,零食下午茶，股票期权，撸猫，节日福利，年终奖，团建活动，五险一金，餐补,https://www.zhipin.com/job_detail/46b67bacc0ded8a91nx_39m_FlNU.html?lid=CIRtin8t7K.search.205&securityId=e6XBWseGE1fH_-n1rVfshJnHjQpWLH8ilGLYYhXqiO9iw2MhlkMWvjf272JqDQ03c5bXLqpwGCriFuZaTvpO1i8WSPbkwHHxZtsrAaw0QtO4ETc9lQ~~&sessionId=,40,60,50,5-10年,本科,杭州,8
技术总监,杭州·拱墅区·三塘,14-20K,"3-5年, 大专","PHP, 全栈开发, 项目总监, 大数据, SaaS, 物联网, HTML, Socket技术",杭州智网互联,,https://www.zhipin.com/job_detail/71f92792a1a725f70HBy29-6GFQ~.html?lid=CIRtin8t7K.search.206&securityId=sqC62uOMaIQ0k-N1kmDdl6TFIJwfBOnjG-FUJbnRDx5VZQZ0-JHJgRR91cMHwj_rJY66zi1RRdlATrOETzsfbBJ7E8wCPmxeaR3h7aAkDqXbKUA6&sessionId=,14,20,17,3-5年,大专,杭州,1
java技术经理,杭州·萧山区·钱江世纪城,20-35K,"10年以上, 本科","架构师, 后端工程师",江林科技,有无线网，生日福利，节日福利，零食下午茶，团建聚餐，五险，带薪年假，加班补助，底薪加提成,https://www.zhipin.com/job_detail/a95eee0061a3fd481Xx93966FFZZ.html?lid=CIRtin8t7K.search.207&securityId=gJnPI9vdQwA1E-V1JDQIWQpqbp1DaI7vvryUwQZ6gV-wZIjBS-amv2ZSMuDytdfPtELzA5XRW4jghZEWEOaZ0c2DbjVDYmo4Rkx2IBk9PXu4nGNBvR-D&sessionId=,20,35,27.5,10年以上,本科,杭州,9
Java技术经理,杭州·余杭区·五常,22-28K·13薪,"5-10年, 本科","Java, 技术经理, SpringMVC, SpringBoot, SpringCloud, Vue, 后端开发, 架构师",鸿程系统,员工旅游，加班补助，免费午餐，年终奖，带薪年假，餐补，定期体检，补充医疗保险，通讯补贴，五险一金，节日福利，住房补贴，交通补助,https://www.zhipin.com/job_detail/a5e6c2df84cad6a11nN82d60F1dR.html?lid=CIRtin8t7K.search.208&securityId=eWerc0GP65ejV-g1lMCP64WWfRZX7qqtoU7Pv2eltqJOAbGD2VxOUuSXS0xoDfeb2q9SWE60hIV8CY48mQ2qwYBaa1FXJQd-rM-LLRK9z7FNRw~~&sessionId=,22,28,25,5-10年,本科,杭州,13
预制菜技术总监,杭州·萧山区·城厢,8-13K,"3-5年, 本科","食品加工及制品, 配方开发, 肉类",安创蓓康,五险一金，年终奖，绩效奖金，底薪加提成，员工旅游,https://www.zhipin.com/job_detail/a59fefb7e61d4b3d1X143ti1GFtU.html?lid=CIRtin8t7K.search.209&securityId=6BPa9EaBA9XjQ-C1C0Zbzf6SFcyympS4swgeRFPYaHzWTqSCNppzDjW8i6amJInXY75n00Q-b-YPbYe3IBvrp0PCk6lqdNkTP4AP7JReUqWj4AF7QyUf&sessionId=,8,13,10.5,3-5年,本科,杭州,5
SaaS平台技术总监,杭州·滨江区·西兴,35-65K·13薪,"5-10年, 硕士","SaaS, 物联网, 无人零售, 团队管理, 团队搭建",福柜,底薪加提成，节日福利，零食下午茶，团建聚餐，工龄奖，股票期权，五险，百万奖金池，绩效奖金,https://www.zhipin.com/job_detail/9709a976935af5831nx72di9F1tS.html?lid=CIRtin8t7K.search.210&securityId=9GV9w5VLBvZEt-N1OhdYMObEns41joD-0YQepPB7VPRitH9FRKxhrZ-aSQ1AnHSpkvT_fmwUsAix7hY9Lg7pJ3FKRkcupJtjBnDK63IdIRZeK4RZAg~~&sessionId=,35,65,50,5-10年,硕士,杭州,9
技术总监,杭州,18-25K,"3-5年, 本科","Java, C#, Python, 分布式技术, 数据结构, 全栈开发, 服务器配置",智健,年终奖，带薪年假，员工旅游，节日福利,https://www.zhipin.com/job_detail/59d8e53c98dc7a841XB629W-EVFT.html?lid=CGTG7hNAtR.search.91&securityId=TlB17PnA2Xumr-k1Hi22W2zOvz7NJGb3PPvy30pk1CbMvdT1YBUYmqzJNCgKynTKiZmTv7ElGFMIXqVkw1NfGA1hcH8qdkQL7bUZLb6HoXXV7RrcqA~~&sessionId=,18,25,21.5,3-5年,本科,杭州,4
技术总监,杭州·西湖区·西湖,30-50K,"5-10年, 本科","WEB开发, Android开发, IOS开发",本楉链科技（杭州）有限公司,五险一金,https://www.zhipin.com/job_detail/146184f31805be231nZ90ty4FlJY.html?lid=CGTG7hNAtR.search.92&securityId=TYayyD2SqqguT-k1MGX0IFXcIGaSM2YrDOvAIg4goG4hJCcvFLIs2wS5YC2XJwgQCiBZprOgO9T48U8ShtSZz5m6Bt93ETjRyvZtYkIk5Tb0gP0I6Q~~&sessionId=,30,50,40,5-10年,本科,杭州,1
技术经理,杭州·滨江区·浦沿,12-24K·14薪,"5-10年, 大专",架构师,大申,五险一金，定期体检,https://www.zhipin.com/job_detail/d09ade56c4a99efe1nJ72dS_EVVV.html?lid=CGTG7hNAtR.search.93&securityId=BoMnEZ88UiTuW-k1Sg01Ri8vao9FAFib5E35sLQ9DJhipqQdKbWx0oGKjsFa9quxv0WbUn_ZaeftB_0XULXwNTlkh1BTZXv7M0-334prssqBASUjjgkF&sessionId=,12,24,18,5-10年,大专,杭州,2
研发总工程师/技术总监 (MJ000158),杭州,60-80K,"10年以上, 本科",高级管理人员,蓝芯科技,带薪年假，年终奖，员工旅游，餐补，五险一金，股票期权，节日福利，零食下午茶,https://www.zhipin.com/job_detail/740c35df464d161f1XNy2Nq9F1pX.html?lid=CGTG7hNAtR.search.94&securityId=SfOanadzyTQWf-h1w2btdItmTIATuA-C-ORYatTHcI7a166AnYxTyt_11C-8rhZe_SIexKqvHdDmM3DKgPNlH57VuLPA7spt5ns7pewPLtgLKIyl&sessionId=,60,80,70,10年以上,本科,杭州,8
技术总监,杭州,25-35K,"5-10年, 大专","架构师, Java, JavaScript, 分布式技术, 微服务架构, IT项目管理, Spring",明识,五险一金，定期体检，交通补助，带薪年假，股票期权，员工旅游，通讯补贴，年终奖，节日福利，零食下午茶,https://www.zhipin.com/job_detail/a25ad26ca900cadd1nR93t65ElJY.html?lid=CGTG7hNAtR.search.95&securityId=GwykXPZSbmBsD-41UGfkR46c9T7nPnZcdkXe4x14zGKP4G23x2rI6kVr3FAmO9_hL9tGg0O2641NSILBRHJarU3Tul080NTGjnWRTZs0BRnHVDPrjy8~&sessionId=,25,35,30,5-10年,大专,杭州,10
技术总监,杭州·西湖区·文三路,30-60K·13薪,"5-10年, 本科","CTO, 架构师, Java, 分布式技术, 微服务架构, 大数据, 人工智能, 算法基础",浙江协同数据,五险一金，带薪年假,https://www.zhipin.com/job_detail/933d34cd1998c74b1nV60t6-EVBX.html?lid=CGTG7hNAtR.search.96&securityId=snRXu6noJ7EWI-M1vEKCjAKN8MCwWEhOQwket1Y9X9jCPoIzSD4j7cHGyeWiKzV-86gZ2RwFUM_A4YQRph5uF0crwIZKqRuxMQdTzOjzTqVfT-j2&sessionId=,30,60,45,5-10年,本科,杭州,2
技术总监,杭州·萧山区·钱江世纪城,20-30K,"5-10年, 本科",架构师,想住,五险一金，节日福利，餐补，交通补助，全勤奖，股票期权,https://www.zhipin.com/job_detail/8b54382c36d5d1251nR539u0EFdU.html?lid=CGTG7hNAtR.search.97&securityId=XjkzmypBtDx0D-E1pVdP1ndWl071mBg9yYJHRYeq1hE2QicVl8mMlUEk3eN_IU5w3YMMJT_FDtCKQgON_keYWxufWJ4T_xdoj5e5ll8b38mbbzTRVzQ~&sessionId=,20,30,25,5-10年,本科,杭州,6
java技术经理,杭州·萧山区·宁围,20-35K·13薪,"5-10年, 本科","全栈工程师, 架构师, Java, 计算机/软件工程相关经验",元声象素,加班晚餐，节日福利，季度奖金，股票期权，带薪年假，五险一金，期权激励，加班补助，交通补助，零食下午茶，员工旅游，年终奖,https://www.zhipin.com/job_detail/db4dd5a446e7007f1XB82Nm0FFpY.html?lid=CGTG7hNAtR.search.98&securityId=L9DZV0UESrhfB-e185uJRsq3ASN0p5AWIyHjmgMA9E9sckUdDgz0hlYoEuWMHokNdO7zsDnc84ww4MNJn4n50RRN4W0QNhI48cUb0PJhOQP-ITXMNw~~&sessionId=,20,35,27.5,5-10年,本科,杭州,12
技术总监,杭州·萧山区·钱江世纪城,20-30K·13薪,"5-10年, 学历不限",架构师,图腾智能,餐补，员工旅游，通讯补贴，年终奖，零食下午茶,https://www.zhipin.com/job_detail/c7c67c924964599a1nV-29-9EVRX.html?lid=CGTG7hNAtR.search.99&securityId=q1IXxQA5Wsy86-G12434pNHufLXeQI9QksLqgrUAMmTHo5ex33I0Fha4L9PQDtm3lWYDjE00qPufExpED0SYc6_mSjdSsFl_GbIKfRKNB7K6QaUIN9u4&sessionId=,20,30,25,5-10年,学历不限,杭州,5
